,Scientific name,Family,Common name,Growth rate (r),Mobility (m),Mobility classification,Movement source,Movement information notes and references
725,Chaceon fenneri,Geryonidae,Gulf of Mexico golden crab,0.42,0.3,habitat_benthic,SLB,
726,Cancer productus,Cancridae,red rock crab,0.46,0.1,sedentary,SLB,SLB: “Buries itself in the substrate during periods of inactivity (Ref. 78491).”
727,Chionoecetes japonicus,Oregoniidae,red snow crab,0.58,0.3,habitat_benthic,SLB,
728,Loxechinus albus,Parechinidae,Chilean sea urchin,0.57,0.1,sedentary,SLB,
729,Cerastoderma edule,Cardiidae,common edible cockle,0.49,0.1,sedentary,SLB,
730,Loligo vulgaris,Loliginidae,European squid,0.34,0.9,migratory,IUCN,IUCN: “Horizontal migrations also take place due to environmental factors; animals migrate into deeper waters during the winter. Offshore and onshore migrations also take place in relation to reproduction.”
731,Spisula solida,Mactridae,solid surf clam,0.47,0.1,sedentary,SLB,
732,Mytilus edulis,Mytilidae,blue mussel,0.54,0.1,sedentary,SLB,
733,Mytilus galloprovincialis,Mytilidae,Mediterranean mussel,0.5,0.1,sedentary,SLB,
734,Eledone cirrhosa,Eledonidae,horned octopus,0.54,0.3,habitat_benthic,SLB,
735,Illex coindetii,Ommastrephidae,shortfin squid,0.52,0.9,migratory,SLB,SLB: “Performs diel vertical movements (Ref. 275) as well as seasonal migrations (Ref. 64257).”
736,Todarodes sagittatus,Ommastrephidae,European flying squid,0.38,0.9,migratory,SLB,SLB: “Migrates to offshore waters during winter; spawning is thought to occur in the continental slope (Ref. 2614).”
737,Crassostrea gigas,Ostreidae,giant cupped oyster,0.57,0.1,sedentary,SLB,
738,Crassostrea virginica,Ostreidae,American cupped oyster,0.57,0.1,sedentary,SLB,
739,Aequipecten opercularis,Pectinidae,queen scallop,0.56,0.1,sedentary,SLB,ref: (47)
740,Pecten maximus,Pectinidae,great Atlantic scallop,0.57,0.1,sedentary,SLB,ref: (47)
741,Sepia officinalis,Sepiidae,common cuttlefish,0.56,0.3,habitat_benthic,SLB,
742,Chamelea gallina,Veneridae,Striped venus clam,0.5,0.1,sedentary,SLB,
743,Mercenaria mercenaria,Veneridae,northern quahog,0.43,0.1,sedentary,SLB,
744,Argopecten irradians,Pectinidae,Atlantic bay scallop,1.01,0.1,sedentary,SLB,
745,Octopus maya,Octopodidae,Mexican four-eyed octopus,0.65,0.3,habitat_coastal,SLB,
746,Illex argentinus,Ommastrephidae,Argentine shortfin squid,1,0.9,pelagic,REF,Secondary ref: (48)
747,Todarodes pacificus,Ommastrephidae,Japanese flying squid,1.12,0.9,pelagic,SLB,
748,Dosidicus gigas,Ommastrephidae,jumbo flying squid,1.19,0.9,pelagic,REF,Secondary ref: (49) “Horizontal movements of nearly 100 km over 3 d were observed”
749,Ruditapes philippinarum,Veneridae,Japanese carpet shell,1.19,0.1,sedentary,SLB,
750,Pecten novaezelandiae,Pectinidae,scallop,0.51,0.1,sedentary,SLB,
751,Argopecten ventricosus,Pectinidae,Pacific calico scallop,1.01,0.1,sedentary,SLB,"SLB: “Moves by expelling water between valves propelling to a distance of 1m upwards or several meters sideways, i.e., flying motion”"
752,Pecten jacobaeus,Pectinidae,great Mediterranean scallop,0.43,0.1,sedentary,SLB,
753,Turbo cornutus,Turbinidae,horned turban,1.19,0.1,sedentary,SLB,
754,Ruditapes decussatus,Veneridae,grooved carpet shell,1.19,0.1,sedentary,SLB,
755,Haliotis rubra,Haliotidae,blacklip abalone,0.57,0.1,sedentary,SLB,
756,Mytilus coruscus,Mytilidae,Far eastern mussel,0.49,0.1,sedentary,SLB,
757,Trachysalambria curvirostris,Penaeidae,southern rough shrimp,1.19,0.3,habitat_benthic,SLB,
758,Litopenaeus setiferus,Penaeidae,northern white shrimp,0.56,0.3,habitat_benthic,SLB,
759,Doryteuthis opalescens,Loliginidae,opalescent inshore squid,0.93,0.9,pelagic,SLB,
760,Doryteuthis gahi,Loliginidae,Patagonian squid,0.48,0.9,migratory,SLB,
761,Larimichthys crocea,Sciaenidae,Large yellow croaker,0.601,0.3,habitat_coastal,FB,
762,Liza haematocheila,Mugilidae,So-iuy mullet,0.293,0.3,habitat_coastal,FB,
763,Tegillarca granosa,Arcidae,granular ark,0.85,0.1,sedentary,SLB,
764,Fenneropenaeus chinensis,Penaeidae,fleshy prawn,0.88,0.9,migratory,REF,Secondary ref: (50)
765,Fenneropenaeus merguiensis,Penaeidae,banana prawn,1.18,0.3,habitat_benthic,FB,
766,Sebastes norvegicus,Sebastidae,Golden redfish,0.057,0.3,habitat_benthic,FB,
767,Metacarcinus magister,Cancridae,Dungeness crab,0.57,0.3,habitat_coastal,SLB,
768,Doryteuthis pealeii,Loliginidae,longfin inshore squid,0.705,0.9,migratory,IUCN,
769,Pleuronectes quadrituberculatus,Pleuronectidae,Alaska plaice,0.12,0.3,habitat_benthic,REF,Secondary ref: (51)
770,Pseudopleuronectes herzensteini,Pleuronectidae,Yellow striped flounder,0.483,0.3,habitat_benthic,FAO,
771,Farfantepenaeus notialis,Penaeidae,southern pink shrimp,0.46,0.3,habitat_benthic,SLB,
772,Farfantepenaeus aztecus,Penaeidae,northern brown shrimp,0.52,0.3,habitat_benthic,SLB,
773,Scophthalmus maximus,Scophthalmidae,Turbot,0.445,0.3,habitat_benthic,FB,
774,Kajikia audax,Istiophoridae,Striped marlin,0.347,0.9,pelagic,FB,
775,Nemadactylus bergi,Cheilodactylidae,Castaneta,0.189,0.3,habitat_benthic,REF,Secondary ref: (52)
776,Leucoraja naevus,Rajidae,Cuckoo ray,0.067,0.3,habitat_benthic,IUCN,
777,Farfantepenaeus duorarum,Penaeidae,pink shrimp,0.51,0.9,pelagic,REF,Secondary ref: (53)
778,Istiompax indica,Istiophoridae,Black marlin,0.362,0.9,hms,FB,
779,Melicertus kerathurus,Penaeidae,caramote prawn,0.57,0.3,habitat_benthic,SLB,
780,Farfantepenaeus californiensis,Penaeidae,yellowleg shrimp,0.92,0.3,habitat_benthic,SLB,
781,Farfantepenaeus brevirostris,Penaeidae,crystal shrimp,0.55,0.3,habitat_benthic,SLB,
782,Lithodes aequispinus,Lithodidae,golden king crab,0.57,0.3,habitat_benthic,SLB,
783,Eleginus nawaga,Gadidae,Navaga,0.38,0.3,habitat_coastal,FB,
784,Melicertus latisulcatus,Penaeidae,western king prawn,1.12,0.3,habitat_benthic,SLB,
785,Parophrys vetulus,Pleuronectidae,English sole,0.314,0.9,migratory,FB,
786,Amblyraja radiata,Rajidae,Starry ray,0.108,0.9,migratory,FB,
787,Chelidonichthys cuculus,Triglidae,Red gurnard,0.231,0.3,habitat_benthic,FB,
788,Moolgarda seheli,Mugilidae,Bluespot mullet,0.655,0.3,habitat_coastal,FB,
789,Kajikia albida,Istiophoridae,Atlantic white marlin,0.387,0.9,hms,FB,
790,Litopenaeus occidentalis,Penaeidae,western white shrimp,0.89,0.3,habitat_benthic,SLB,
791,Zenopsis nebulosa,Zeidae,Mirror dory,0.199,0.9,deep,FB,
792,Netuma thalassinus,Ariidae,Giant catfish,0.31,0.3,habitat_coastal,FB,
793,Litopenaeus vannamei,Penaeidae,whiteleg shrimp,0.7,0.3,habitat_benthic,SLB,
794,Meuschenia scaber,Monacanthidae,Velvet leatherjacket,1.032,0.3,habitat_coastal,FB,
795,Dipturus batis,Rajidae,Blue skate,0.066,0.3,habitat_benthic,FB,
796,Alosa immaculata,Clupeidae,Pontic shad,0.989,0.9,migratory,FB,
797,Conger orbignianus,Congridae,Argentine conger,0.27,0.3,habitat_benthic,FB,
798,Acanthopagrus schlegelii,Sparidae,Blackhead seabream,0.445,0.3,habitat_coastal,FB,
799,Pegusa lascaris,Soleidae,Sand sole,0.191,0.3,habitat_benthic,IUCN,
800,Leucoraja circularis,Rajidae,Sandy ray,0.108,0.3,habitat_benthic,FB,
801,Balistes capriscus,Balistidae,Grey triggerfish,0.825,0.3,habitat_reef,FB,
802,Hyporthodus flavolimbatus,Serranidae,Yellowedge grouper,0.175,0.3,habitat_benthic,FB,
803,Dipturus oxyrinchus,Rajidae,Longnosed skate,0.162,0.3,habitat_benthic,FB,
804,Leucoraja fullonica,Rajidae,Shagreen ray,0.108,0.3,habitat_benthic,FB,
805,Hyporthodus niveatus,Serranidae,Snowy grouper,0.166,0.3,habitat_reef,FB,
806,Pentaceros richardsoni,Pentacerotidae,Pelagic armourhead,0.393,0.3,habitat_benthic,FB,
807,Trigloporus lastoviza,Triglidae,Streaked gurnard,0.195,0.3,habitat_benthic,FB,
808,Herklotsichthys quadrimaculatus,Clupeidae,Bluestripe herring,1.74,0.3,habitat_coastal,FB,
809,Lepidonotothen squamifrons,Nototheniidae,Grey rockcod,0.234,0.3,habitat_benthic,REF,Secondary ref: (54)
810,Hyporthodus nigritus,Serranidae,Warsaw grouper,0.139,0.3,habitat_reef,FB,
811,Hyporthodus mystacinus,Serranidae,Misty grouper,0.193,0.3,habitat_deep,FB,
